id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
175,信永中和会计师事务所实习,天职会计师事务所北京总所实习,校级：南方航空2018年度偿债能力分析,第八届金点子大学生创业创意大赛金奖,,,,,,,,,,,
176,信永中和会计师事务所实习,天职会计师事务所北京总所实习,校级：南方航空2018年度偿债能力分析,第八届金点子大学生创业创意大赛金奖,,,,,,,,,,,
177,伯克利交流一学期,华泰证券项目实习生,全国大学生数学建模比赛上海市三等奖,对酿酒行业A股上市公司构建投资组合课程项目,,,,,,,,,,,
178,上海睿益会计师事务所财务实习,斯伦贝谢中国公司财务实习,北京紫龙互娱有限公司产品实习,P2P业务审计的风险和控制,互联网+创新创业大赛项目,,,,,,,,,,
179,万科BusinessInnovatorCenter实习生,贵州省遵义市新舟机场飞行区管理部实习生,美国大学生数学建模大赛ProblemB,基于京津冀四大机场到雄安新区地面交通通达性调研,城市道路畸形交叉口交通优化方案与模拟仿真,,,,,,,,,,
180,NO BACKGROUND,,,,,,,,,,,,,,
181,NO BACKGROUND,,,,,,,,,,,,,,
182,NO BACKGROUND,,,,,,,,,,,,,,
183,NO BACKGROUND,,,,,,,,,,,,,,
184,NO BACKGROUND,,,,,,,,,,,,,,
185,NO BACKGROUND,,,,,,,,,,,,,,
186,NO BACKGROUND,,,,,,,,,,,,,,
187,NO BACKGROUND,,,,,,,,,,,,,,
188,NO BACKGROUND,,,,,,,,,,,,,,
189,NO BACKGROUND,,,,,,,,,,,,,,
190,NO BACKGROUND,,,,,,,,,,,,,,
191,NO BACKGROUND,,,,,,,,,,,,,,
192,NO BACKGROUND,,,,,,,,,,,,,,
193,兴业银行实习,国家电网技术中心实习,KalamazooCollege计算机系RA,课设若干,,,,,,,,,,,
194,中信银行金融实习,广发证券金融实习,美国数学建模竞赛二等奖,课程设计若干,,,,,,,,,,,
195,中信银行金融实习,广发证券金融实习,美国数学建模竞赛二等奖,课程设计若干,,,,,,,,,,,
196,兴业银行实习,国家电网技术中心实习,KalamazooCollege计算机系RA,课设若干,,,,,,,,,,,
197,中信银行金融实习,广发证券金融实习,美国数学建模竞赛二等奖,课程设计若干,,,,,,,,,,,
198,中信银行金融实习,广发证券金融实习,美国数学建模竞赛二等奖,课程设计若干,,,,,,,,,,,
199,兴业银行实习,国家电网技术中心实习,KalamazooCollege计算机系RA,课设若干,,,,,,,,,,,
200,中信银行金融实习,广发证券金融实习,美国数学建模竞赛二等奖,课程设计若干,,,,,,,,,,,
201,兴业银行实习,国家电网技术中心实习,KalamazooCollege计算机系RA,课设若干,,,,,,,,,,,
202,华泰证券定量分析研究实习,久亿财富投资有限公司定量分析研究实习,平安银行信贷部实习,,,,,,,,,,,,
203,华泰证券定量分析研究实习,久亿财富投资有限公司定量分析研究实习,平安银行信贷部实习,,,,,,,,,,,,
