,idErr,reasons
680,1602,MISSING LANGUAGE
681,1602,MISSING BACKGROUND
682,1603,MISSING BACKGROUND
683,1604,MISSING BACKGROUND
684,1605,MISSING BACKGROUND
685,1606,MISSING LANGUAGE
686,1606,MISSING BACKGROUND
687,1607,MISSING BACKGROUND
688,1608,MISSING BACKGROUND
689,1609,MISSING LANGUAGE
690,1609,MISSING BACKGROUND
691,1610,MISSING BACKGROUND
692,1611,MISSING BACKGROUND
693,1612,MISSING LANGUAGE
694,1612,MISSING BACKGROUND
695,1613,MISSING BACKGROUND
696,1614,MISSING BACKGROUND
697,1615,MISSING BACKGROUND
698,1616,MISSING BACKGROUND
699,1617,MISSING BACKGROUND
700,1618,MISSING BACKGROUND
701,1619,MISSING LANGUAGE
702,1619,MISSING BACKGROUND
703,1620,MISSING BACKGROUND
704,1621,MISSING BACKGROUND
705,1622,MISSING BACKGROUND
706,1623,MISSING BACKGROUND
707,1624,MISSING BACKGROUND
708,1625,MISSING LANGUAGE
709,1625,MISSING BACKGROUND
710,1626,MISSING LANGUAGE
711,1626,MISSING BACKGROUND
712,1627,MISSING BACKGROUND
713,1628,MISSING LANGUAGE
714,1628,MISSING BACKGROUND
715,1629,MISSING LANGUAGE
716,1629,MISSING BACKGROUND
717,1630,MISSING BACKGROUND
718,1631,MISSING LANGUAGE
719,1631,MISSING BACKGROUND
720,1632,MISSING BACKGROUND
721,1633,MISSING BACKGROUND
722,1634,MISSING LANGUAGE
723,1634,MISSING BACKGROUND
724,1635,MISSING LANGUAGE
725,1635,MISSING BACKGROUND
726,1636,MISSING LANGUAGE
727,1636,MISSING BACKGROUND
728,1637,MISSING LANGUAGE
729,1637,MISSING BACKGROUND
730,1638,MISSING BACKGROUND
731,1639,MISSING BACKGROUND
732,1640,MISSING LANGUAGE
733,1640,MISSING BACKGROUND
734,1641,MISSING LANGUAGE
735,1641,MISSING BACKGROUND
736,1642,MISSING BACKGROUND
737,1643,MISSING BACKGROUND
738,1644,MISSING LANGUAGE
739,1644,MISSING BACKGROUND
740,1645,MISSING BACKGROUND
741,1646,MISSING BACKGROUND
742,1647,MISSING BACKGROUND
743,1648,MISSING LANGUAGE
744,1648,MISSING BACKGROUND
745,1649,MISSING BACKGROUND
746,1650,MISSING BACKGROUND
747,1651,MISSING BACKGROUND
748,1652,MISSING BACKGROUND
749,1680,MISSING LANGUAGE
750,1769,MISSING BACKGROUND
751,1784,MISSING BACKGROUND
752,1785,MISSING BACKGROUND
753,1786,MISSING LANGUAGE
754,1786,MISSING BACKGROUND
755,1799,MISSING LANGUAGE
756,1801,MISSING LANGUAGE
757,1803,MISSING LANGUAGE
758,1821,MISSING LANGUAGE
759,1827,MISSING LANGUAGE
760,1835,MISSING LANGUAGE
761,1835,MISSING BACKGROUND
762,1836,MISSING LANGUAGE
763,1838,MISSING LANGUAGE
764,1839,MISSING LANGUAGE
765,1841,MISSING LANGUAGE
766,1854,MISSING BACKGROUND
767,1856,MISSING BACKGROUND
768,1861,MISSING LANGUAGE
769,1866,MISSING LANGUAGE
770,1867,MISSING LANGUAGE
771,1888,MISSING LANGUAGE
772,1893,MISSING LANGUAGE
773,1899,MISSING BACKGROUND
774,1900,MISSING GPA
775,1901,MISSING BACKGROUND
776,1902,MISSING LANGUAGE
777,1904,MISSING BACKGROUND
778,1905,MISSING BACKGROUND
779,1907,MISSING BACKGROUND
780,1910,MISSING LANGUAGE
781,1910,MISSING BACKGROUND
782,1911,MISSING BACKGROUND
783,1912,MISSING LANGUAGE
784,1912,MISSING BACKGROUND
785,1913,MISSING LANGUAGE
786,1915,MISSING LANGUAGE
787,1917,MISSING BACKGROUND
788,1921,MISSING BACKGROUND
789,1923,MISSING BACKGROUND
790,1924,MISSING BACKGROUND
791,1925,MISSING BACKGROUND
792,1926,MISSING BACKGROUND
793,1927,MISSING BACKGROUND
794,1928,MISSING BACKGROUND
795,1929,MISSING BACKGROUND
796,1930,MISSING BACKGROUND
797,1931,MISSING BACKGROUND
798,1932,MISSING BACKGROUND
799,1933,MISSING BACKGROUND
800,1934,MISSING BACKGROUND
801,1935,MISSING BACKGROUND
802,1936,MISSING BACKGROUND
803,1937,MISSING BACKGROUND
804,1938,MISSING BACKGROUND
805,1939,MISSING GPA
806,1939,MISSING BACKGROUND
807,1940,MISSING BACKGROUND
808,1941,MISSING BACKGROUND
809,1942,MISSING BACKGROUND
810,1943,MISSING LANGUAGE
811,1943,MISSING BACKGROUND
812,1944,MISSING LANGUAGE
813,1944,MISSING BACKGROUND
814,1945,MISSING LANGUAGE
815,1945,MISSING BACKGROUND
816,1946,MISSING LANGUAGE
817,1946,MISSING BACKGROUND
818,1947,MISSING BACKGROUND
819,1948,MISSING BACKGROUND
820,1949,MISSING BACKGROUND
821,1950,MISSING LANGUAGE
822,1950,MISSING BACKGROUND
823,1951,MISSING BACKGROUND
824,1952,MISSING LANGUAGE
825,1952,MISSING BACKGROUND
826,1953,MISSING LANGUAGE
827,1953,MISSING BACKGROUND
828,1954,MISSING LANGUAGE
829,1954,MISSING BACKGROUND
830,1955,MISSING BACKGROUND
831,1956,MISSING BACKGROUND
832,1957,MISSING LANGUAGE
833,1957,MISSING BACKGROUND
